year,month,longitude,latitude,ingenio,hacienda,area,variedad,edad,corte,lote_comercial,lote_semillero,RSD,LSD,incidencia_RSD,incidencia_LSD,prevalencia_RSD,prevalencia_LSD,NDVI,RH2M,PRECTOTCORR,WS2M,PAR,T2M,T2M_MAX,T2M_MIN,densidad_aparente_0-30cm_mean,intercambio_catiónico_0-30cm_mean,fraccion_gruesa_0-30cm_mean,arcillas_0-30cm_mean,nitrogeno_0-30cm_mean,ph_0-30cm_mean,arena_0-30cm_mean,limo_0-30cm_mean,carbono_organico_0-30cm_mean,cluster
2012,3,-75.86,4.35,11,RIOPAILA,4.87,CC 93-4418,6.2,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.45,15.58,1.6,0.88,141.21,15.27,19.76,12.01,1.14,23.4,6.5,38.5,25.0,5.33,24.8,36.73,39.8,1
2012,3,-76.21,4.24,11,LALUISA,3.0,CC 01-1228,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.32,18.48,0.94,0.97,135.71,18.21,23.38,14.24,1.32,23.0,3.77,40.77,21.41,5.77,23.4,35.8,39.1,0
2012,3,-76.21,4.24,11,LALUISA,2.2,CC 85-92,6.6,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.32,18.48,0.94,0.97,135.71,18.21,23.38,14.24,1.32,23.0,3.77,40.77,21.41,5.77,23.4,35.8,39.1,0
2012,3,-76.35,3.12,11,PERALONSO,3.93,CC 85-92,6.8,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.81,14.73,0.24,2.54,136.06,14.42,18.99,10.96,1.3,19.0,5.73,39.93,21.5,5.7,21.8,38.27,31.53,0
2012,3,-76.35,3.12,11,PERALONSO,4.87,CC 92-2198,6.3,1,0,1,0.0,5.0,0.0,25.0,0.0,1.03,0.81,14.73,0.24,2.54,136.06,14.42,18.99,10.96,1.3,19.0,5.73,39.93,21.5,5.7,21.8,38.27,31.53,0
2012,3,-76.35,3.12,11,PERALONSO,4.87,CC 85-92,6.8,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.81,14.73,0.24,2.54,136.06,14.42,18.99,10.96,1.3,19.0,5.73,39.93,21.5,5.7,21.8,38.27,31.53,0
2012,3,-76.05,4.58,11,LALUISA,1.1,RBCC 85-5113,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.81,21.62,1.77,0.54,141.21,21.58,26.58,18.01,1.3,19.8,6.67,35.93,22.99,5.7,30.2,33.9,33.07,0
2012,3,-76.35,3.12,11,PERALONSO,2.0,CC 01-1940,6.8,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.81,14.73,0.24,2.54,136.06,14.42,18.99,10.96,1.3,19.0,5.73,39.93,21.5,5.7,21.8,38.27,31.53,0
2012,3,-76.21,4.24,11,LALUISA,1.5,CC 01-678,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.32,18.48,0.94,0.97,135.71,18.21,23.38,14.24,1.32,23.0,3.77,40.77,21.41,5.77,23.4,35.8,39.1,0
2012,3,-76.05,4.58,11,LALUISA,1.5,CC 01-678,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.81,21.62,1.77,0.54,141.21,21.58,26.58,18.01,1.3,19.8,6.67,35.93,22.99,5.7,30.2,33.9,33.07,0
2012,3,-76.05,4.58,11,LALUISA,2.2,CC 85-92,6.6,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.81,21.62,1.77,0.54,141.21,21.58,26.58,18.01,1.3,19.8,6.67,35.93,22.99,5.7,30.2,33.9,33.07,0
2012,3,-76.33,3.32,11,LALUISA,4.87,CC 01-1940,6.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.82,16.11,0.33,2.27,136.06,15.71,20.74,12.17,1.38,25.33,5.77,39.03,20.74,6.0,25.67,35.33,35.83,0
2012,3,-76.33,3.32,11,LALUISA,2.86,CC 97-7170,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.82,16.11,0.33,2.27,136.06,15.71,20.74,12.17,1.38,25.33,5.77,39.03,20.74,6.0,25.67,35.33,35.83,0
2012,3,-76.1,4.33,11,RIOPAILA,4.87,CC 93-4418,6.2,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.61,21.62,1.77,0.54,135.71,21.58,26.58,18.01,1.29,19.5,6.5,34.53,22.72,5.3,24.87,40.6,36.3,0
2012,3,-76.1,4.33,11,RIOPAILA,4.87,CC 01-1228,7.2,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.61,21.62,1.77,0.54,135.71,21.58,26.58,18.01,1.29,19.5,6.5,34.53,22.72,5.3,24.87,40.6,36.3,0
2012,3,-76.1,4.33,11,RIOPAILA,0.9,CC 93-4418,7.2,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.61,21.62,1.77,0.54,135.71,21.58,26.58,18.01,1.29,19.5,6.5,34.53,22.72,5.3,24.87,40.6,36.3,0
2012,3,-76.33,3.32,11,LALUISA,1.1,RBCC 85-5113,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.82,16.11,0.33,2.27,136.06,15.71,20.74,12.17,1.38,25.33,5.77,39.03,20.74,6.0,25.67,35.33,35.83,0
2012,3,-76.05,4.58,11,LALUISA,3.0,CC 01-1228,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.81,21.62,1.77,0.54,141.21,21.58,26.58,18.01,1.3,19.8,6.67,35.93,22.99,5.7,30.2,33.9,33.07,0
2012,3,-76.21,4.24,11,LALUISA,1.1,RBCC 85-5113,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.32,18.48,0.94,0.97,135.71,18.21,23.38,14.24,1.32,23.0,3.77,40.77,21.41,5.77,23.4,35.8,39.1,0
2012,3,-76.21,4.24,11,LALUISA,2.86,CC 97-7170,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.32,18.48,0.94,0.97,135.71,18.21,23.38,14.24,1.32,23.0,3.77,40.77,21.41,5.77,23.4,35.8,39.1,0
2012,3,-76.21,4.24,11,LALUISA,4.87,CC 01-1940,6.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.32,18.48,0.94,0.97,135.71,18.21,23.38,14.24,1.32,23.0,3.77,40.77,21.41,5.77,23.4,35.8,39.1,0
2012,3,-76.08,4.45,11,LALUISA,1.1,RBCC 85-5113,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.69,21.62,1.77,0.54,135.71,21.58,26.58,18.01,1.31,22.5,4.73,36.93,27.25,5.7,29.6,33.43,36.8,0
2012,3,-76.08,4.45,11,LALUISA,2.86,CC 97-7170,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.69,21.62,1.77,0.54,135.71,21.58,26.58,18.01,1.31,22.5,4.73,36.93,27.25,5.7,29.6,33.43,36.8,0
2012,3,-76.3,3.71,11,LALUISA,4.87,CC 01-1940,6.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.81,16.11,0.33,2.27,136.06,15.71,20.74,12.17,1.38,24.13,7.5,36.8,19.97,5.7,26.67,36.57,32.83,0
2012,3,-76.08,4.45,11,LALUISA,4.87,CC 01-1940,6.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.69,21.62,1.77,0.54,135.71,21.58,26.58,18.01,1.31,22.5,4.73,36.93,27.25,5.7,29.6,33.43,36.8,0
2012,3,-76.35,3.11,11,RIOPAILA,0.9,CC 93-4418,7.2,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.74,14.73,0.24,2.54,136.06,14.42,18.99,10.96,1.28,22.47,6.23,36.6,22.85,5.8,25.27,38.07,32.23,0
2012,3,-76.35,3.11,11,RIOPAILA,4.87,CC 01-1228,7.2,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.74,14.73,0.24,2.54,136.06,14.42,18.99,10.96,1.28,22.47,6.23,36.6,22.85,5.8,25.27,38.07,32.23,0
2012,3,-76.12,4.43,11,LALUISA,3.0,CC 01-1228,6.1,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.81,21.62,1.77,0.54,135.71,21.58,26.58,18.01,1.29,23.13,4.73,36.73,29.25,5.7,26.5,36.77,36.37,0
2012,3,-76.13,4.43,11,PERALONSO,3.93,CC 85-92,6.8,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.81,21.62,1.77,0.54,135.71,21.58,26.58,18.01,1.31,21.83,5.53,40.0,24.95,5.8,24.37,35.63,39.17,0
